,neighborhood
0,Palacio
1,Embajadores
2,Cortes
3,Justicia
4,Universidad
5,Sol
6,Imperial
7,Las Acacias
8,La Chopera
9,Legazpi
10,Las Delicias
11,Palos de Moguer
12,Atocha
13,Pacífico
14,Adelfas
15,La Estrella
16,Ibiza
17,Los Jerónimos
18,Niño Jesús
19,Recoletos
20,Goya
21,Fuente del Berro
22,Guindalera
23,Lista
24,Castellana
25,El Viso
26,Prosperidad
27,Ciudad Jardín
28,Hispanoamérica
29,Nueva España
30,Castilla
31,Bellas Vistas
32,Cuatro Caminos
33,Castillejos
34,Almenara
35,Valdeacederas
36,Berruguete
37,Gaztambide
38,Arapiles
39,Trafalgar
40,Almagro
41,Ríos Rosas
42,Vallehermoso
43,El Pardo
44,Fuentelarreina
45,Peñagrande
46,Del Pilar
47,La Paz
48,Valverde
49,Mirasierra
50,El Goloso
51,Casa de Campo
52,Argüelles
53,Ciudad Universitaria
54,Valdezarza
55,Valdemarín
56,El Plantío
57,Aravaca
58,Los Cármenes
59,Puerta del Ángel
60,Lucero
61,Aluche
62,Campamento
63,Cuatro Vientos
64,Las Águilas
65,Comillas
66,Opañel
67,San Isidro
68,Vista Alegre
69,Puerta Bonita
70,Buenavista
71,Abrantes
72,Orcasitas
73,Orcasur
74,San Fermín
75,Almendrales
76,Moscardó
77,Zofío
78,Pradolongo
79,Entrevías
80,San Diego
81,Palomeras Bajas
82,Palomeras Sureste
83,Portazgo
84,Numancia
85,Pavones
86,Horcajo
87,Marroquina
88,Media Legua
89,Fontarrón
90,Vinateros
91,Ventas
92,Pueblo Nuevo
93,Quintana
94,La Concepción
95,San Pascual
96,San Juan Bautista
97,Colina
98,Atalaya
99,Costillares
100,Palomas
101,Piovera
102,Canillas
103,Pinar del Rey
104,Apóstol Santiago
105,Valdefuentes
106,"Villaverde Alto, C.H. Villaverde"
107,San Cristóbal
108,Butarque
109,Los Rosales
110,Los Ángeles
111,Casco Histórico de Vallecas
112,Santa Eugenia
113,Ensanche de Vallecas
114,Casco Histórico de Vicálvaro
115,Valdebernardo
116,Valderrivas
117,El Cañaveral
118,Simancas
119,Hellín
120,Amposta
121,Arcos
122,Rosas
123,Rejas
124,Canillejas
125,El Salvador
126,Alameda de Osuna
127,Aeropuerto
128,Casco Histórico de Barajas
129,Timón
130,Corralejos
