,district,Censo electoral,Abstención,Votos en blanco,Votos a candidaturas,Más Madrid,PP,Ciudadanos,PSOE,VOX
0,CENTRO,98873.0,32505.0,273.0,66368.0,32421.0,11379.0,8851.0,6069.0,3625.0
1,ARGANZUELA,120913.0,30928.0,388.0,89985.0,35017.0,18850.0,16757.0,9464.0,5772.0
2,RETIRO,96176.0,22587.0,266.0,73589.0,20563.0,22792.0,15400.0,6215.0,6201.0
3,SALAMANCA,112709.0,30186.0,343.0,82523.0,16702.0,31356.0,17580.0,6040.0,8625.0
4,CHAMARTÍN,113650.0,27869.0,364.0,85781.0,16889.0,33039.0,19358.0,5950.0,8252.0
5,TETUÁN,112989.0,39912.0,346.0,73077.0,21319.0,19120.0,13769.0,9544.0,6283.0
6,CHAMBERÍ,110576.0,28402.0,352.0,82174.0,21582.0,28042.0,16577.0,6217.0,7183.0
7,FUENCARRAL-EL PARDO,182995.0,49249.0,551.0,133746.0,33954.0,36871.0,31091.0,15341.0,11852.0
8,MONCLOA-ARAVACA,90595.0,22810.0,274.0,67785.0,18006.0,22102.0,13513.0,5906.0,5946.0
9,LATINA,175624.0,58383.0,430.0,117241.0,36084.0,27145.0,19357.0,19615.0,8459.0
10,CARABANCHEL,172660.0,66656.0,487.0,106004.0,35119.0,21098.0,17546.0,18738.0,7674.0
11,USERA,90673.0,38311.0,227.0,52362.0,19146.0,8285.0,7663.0,11189.0,3331.0
12,PUENTE DE VALLECAS,165323.0,67924.0,377.0,97399.0,38898.0,11571.0,12082.0,22726.0,5061.0
13,MORATALAZ,75149.0,22722.0,245.0,52427.0,17134.0,11994.0,9104.0,8119.0,3316.0
14,CIUDAD LINEAL,161562.0,52551.0,516.0,109011.0,31072.0,28341.0,21710.0,15006.0,8142.0
15,HORTALEZA,138606.0,39021.0,396.0,99585.0,26202.0,23956.0,24849.0,12633.0,8315.0
16,VILLAVERDE,98996.0,39401.0,262.0,59595.0,20050.0,9123.0,9023.0,13968.0,3898.0
17,VILLA DE VALLECAS,77371.0,27011.0,253.0,50360.0,19896.0,6265.0,9496.0,8623.0,3267.0
18,VICÁLVARO,50813.0,16283.0,167.0,34530.0,12585.0,4722.0,6611.0,6374.0,2200.0
19,SAN BLAS-CANILLEJAS,115712.0,39551.0,335.0,76161.0,25109.0,13339.0,15543.0,13213.0,5311.0
20,BARAJAS,35916.0,9661.0,93.0,26255.0,7411.0,5954.0,6656.0,3124.0,2256.0
