,neighborhood,Censo electoral,Abstención,Votos en blanco,Votos a candidaturas,Más Madrid,PP,Ciudadanos,PSOE,VOX
0,Palacio,1.0,0.301,0.003,0.699,0.336,0.129,0.091,0.064,0.041
1,Embajadores,1.0,0.344,0.003,0.656,0.355,0.081,0.067,0.066,0.03
2,Cortes,1.0,0.318,0.003,0.682,0.311,0.138,0.1,0.058,0.039
3,Justicia,1.0,0.329,0.003,0.671,0.273,0.154,0.118,0.053,0.046
4,Universidad,1.0,0.324,0.002,0.676,0.334,0.117,0.097,0.06,0.035
5,Sol,1.0,0.37,0.002,0.63,0.272,0.132,0.099,0.055,0.045
6,Imperial,1.0,0.2385202709968814,0.003333691794816647,0.7614797290031187,0.28546080223679965,0.17394343477793311,0.14044520916227551,0.07463168082589526,0.05403806860952791
7,Las Acacias,1.0,0.22972839830536307,0.003119971099215081,0.7702716016946369,0.2981707116818286,0.1674931853262833,0.14581759663699959,0.07944431672632928,0.046208414069427564
8,La Chopera,1.0,0.30314102564102563,0.003269230769230769,0.6968589743589744,0.2758333333333333,0.14903846153846154,0.10301282051282051,0.09012820512820513,0.039935897435897434
9,Legazpi,1.0,0.2253482087173446,0.003949830226595523,0.7746517912826554,0.3048991753863211,0.12888919686785394,0.1870279259926547,0.0729679162913173,0.051209202411475294
10,Las Delicias,1.0,0.2612178722998426,0.0030041485861427688,0.7387821277001574,0.28186543321730007,0.15311620809689572,0.1435315435601545,0.07715416527585714,0.04997377330599399
11,Palos de Moguer,1.0,0.2907011586096684,0.0029964043148222133,0.7092988413903316,0.2883040351578106,0.15211745904914103,0.11246504194966041,0.07466040751098682,0.044496604075109865
12,Atocha,1.0,0.25833333333333336,0.0,0.7416666666666667,0.28809523809523807,0.0869047619047619,0.1630952380952381,0.10119047619047619,0.07023809523809524
13,Pacífico,1.0,0.24174860192258488,0.0027413282649219636,0.7582513980774152,0.24134654044372966,0.20552651778208267,0.15007858474359442,0.0756241090683139,0.05738513834569977
14,Adelfas,1.0,0.23667796610169492,0.0029152542372881357,0.7633220338983051,0.24908474576271186,0.17816949152542372,0.1694915254237288,0.07776271186440678,0.05884745762711865
15,La Estrella,1.0,0.20079946010486424,0.0024918237034729793,0.7992005398951357,0.20022841717281836,0.2763847791102113,0.17364896433577323,0.06172454965477859,0.06421637335825157
16,Ibiza,1.0,0.2690717997165801,0.003011336797354747,0.73092820028342,0.20677846008502598,0.22401983939537082,0.15109825224374115,0.060758148323098726,0.06412376003778933
17,Los Jerónimos,1.0,0.26954659050339164,0.0026776151374509104,0.7304534094966083,0.1497679400214209,0.291146019278829,0.1394144948232774,0.0408782577650839,0.08621920742591932
18,Niño Jesús,1.0,0.20764715473667048,0.0027718897766182945,0.7923528452633295,0.1702266427523235,0.30914723626284035,0.1719386923202348,0.04500244578509702,0.07802054459481493
19,Recoletos,1.0,0.2698412698412698,0.0028314028314028314,0.7301587301587301,0.07627627627627627,0.001821608328353242,0.1431145431145431,0.03166023166023166,0.09249249249249249
20,Goya,1.0,0.287028115967417,0.004029079442935972,0.7129718840325829,0.13970395024962776,0.0024905322657796615,0.1584041341858632,0.0561881404922484,0.07716563020057808
21,Fuente del Berro,1.0,0.2722071665161096,0.003071364046973803,0.7277928334838903,0.20373381511592895,0.0014200037449731658,0.16007226738934055,0.07467630231857875,0.058416139716952725
22,Guindalera,1.0,0.25409811137130867,0.002645904929898726,0.7459018886286913,0.1873118214166236,0.0033004139905191293,0.16489766126334357,0.05906146406739454,0.06946260758492746
23,Lista,1.0,0.2715264797507788,0.002616822429906542,0.7284735202492212,0.13738317757009347,0.0019337907093804904,0.15595015576323987,0.05059190031152648,0.0801246105919003
24,Castellana,1.0,0.2565436770734784,0.0029959003468937244,0.7434563229265216,0.06906338694418164,0.002110196460958655,0.13497319457584359,0.031062756228319142,0.09815515610217597
25,El Viso,1.0,0.230617358949047,0.0024299491229402385,0.769382641050953,0.07365783278912598,0.40807958083377627,0.1510365251727542,0.03234869769914193,0.09279368213228036
26,Prosperidad,1.0,0.25342957818754064,0.0035578666484211968,0.7465704218124594,0.19605897848174883,0.22164825014539358,0.16704868119462216,0.07115733296842393,0.0630837124970066
27,Ciudad Jardín,1.0,0.2689655172413793,0.0034482758620689655,0.7310344827586207,0.2113793103448276,0.21489655172413794,0.15351724137931033,0.06772413793103449,0.05551724137931034
28,Hispanoamérica,1.0,0.2375249500998004,0.0030738522954091817,0.7624750499001997,0.1274251497005988,0.3157285429141717,0.1839121756487026,0.04291417165668663,0.07548902195608782
29,Nueva España,1.0,0.23033067274800456,0.0029320736276266493,0.7696693272519954,0.10392572080143346,0.35119726339794755,0.18303741108758212,0.036488027366020526,0.08074062007927459
30,Castilla,1.0,0.25084694722577733,0.0035383572988029813,0.7491530527742227,0.1518482270571407,0.2780245426484981,0.17179853948656176,0.05382820146051344,0.07551005044041256
31,Bellas Vistas,1.0,0.3766580925001261,0.004236646996519897,0.623341907499874,0.21077318807686488,0.14192767438341655,0.10399959650980986,0.09118878297271397,0.04403086699954607
32,Cuatro Caminos,1.0,0.2945998254335699,0.00246669955599408,0.7054001745664301,0.16371295207013017,0.23619596979241775,0.14895070395810406,0.06595575120488786,0.0686121968805738
33,Castillejos,1.0,0.29353296426774034,0.002642174131857071,0.7064670357322597,0.15016356316054352,0.254214896829391,0.151295923502768,0.05737292400603926,0.07366633115249119
34,Almenara,1.0,0.40461811722912966,0.002782711663706335,0.5953818827708703,0.1937240970988751,0.12368265245707519,0.09816459443457667,0.09869745411486086,0.051450562462995855
35,Valdeacederas,1.0,0.3985805860805861,0.003434065934065934,0.6014194139194139,0.21388507326007325,0.10222069597069597,0.10994734432234432,0.10256410256410256,0.04223901098901099
36,Berruguete,1.0,0.3755814655953604,0.002899776475563342,0.6244185344046397,0.2072131939829638,0.1308524134597958,0.10862079381381018,0.09829034011961578,0.049779496163837374
37,Gaztambide,1.0,0.26616794058654525,0.0032525613920962758,0.7338320594134548,0.20442348349325093,0.23928009974521602,0.1428958638260964,0.05686561500514989,0.06553911205073996
38,Arapiles,1.0,0.26514995891536564,0.003389482333607231,0.7348500410846344,0.2314605587510271,0.21220213640098604,0.1441557107641742,0.06445152013147083,0.05613188167625308
39,Trafalgar,1.0,0.2773522409688438,0.0029500051754476763,0.7226477590311562,0.24433288479453472,0.19775385570851878,0.139995859641859,0.06127730048649208,0.05377290135596729
40,Almagro,1.0,0.24813961145867633,0.0033585775436285807,0.7518603885413236,0.13026012512347712,0.34329930852815277,0.14362858083635166,0.04445176160684886,0.07211063549555483
41,Ríos Rosas,1.0,0.25915154872363017,0.0034159627013802337,0.7408484512763699,0.1855237040114481,0.2473341642431796,0.16068873193925126,0.060656418778562524,0.0637954115311822
42,Vallehermoso,1.0,0.21762600837023108,0.002668769333414205,0.782373991629769,0.15685085218657124,0.3095772426760478,0.1678291987626615,0.044883847880147994,0.08279250318432704
43,El Pardo,1.0,0.33034791594901824,0.0006889424733034792,0.6696520840509818,0.12297623148467103,0.20323802962452636,0.13468825353083017,0.07578367206338271,0.1105752669652084
44,Fuentelarreina,1.0,0.21281741233373638,0.0008061265618702137,0.7871825876662636,0.0709391374445788,0.426440951229343,0.1596130592503023,0.030229746070133012,0.08665860540104796
45,Peñagrande,1.0,0.2711180124223602,0.0033879164313946925,0.7288819875776398,0.20734048560135518,0.19059853190287973,0.15372670807453417,0.09466403162055335,0.054771315640880856
